quests_title,quests_description,quests_objective
Desert Duel,"On your way to the sand demon’s lair you were contacted by Lord Praven. He told you that he has the only device that can disable the now active Shock Drum and save Master Kiwiiks: an electro-code transmitter. He has challenged you to a duel for the device.
Take a speeder to Republic Outpost Salara in the Northern Jundland Chasm, then confront Lord Praven at Esus Mesa.",Use Your Personal Holocom
Field Trip,"Representative Fauler and Kamus Orden managed to extract facility schematics from the Czerka records that you retrieved. However, due to the age of the schematics, the desert has shifted, and pinpointing the facility’s precise location requires more data.
Visit each designated location in Jundland and acquire geological readings using your field scanner.",Take Readings at First Location
Final Stage – Quarry Quandary,"The Twin Suns pirates are a major threat to the local settlements and have taken over a mine as their base of operations. Strike a blow against them by defeating the leader of their mining operations, the “Eclipse-Maker” Garthrus, at the Twin Suns Station in Jundland and searching him.",Updating…
Interception,"Fuse, one of the Havoc traitors, is apparently working for the Empire against his will on Tatooine. With the help of Oleg Klerren, the mayor of the local settlement of Anchorhead, you have begun working your way to Fuse’s location, starting by investigating a group of Geonosians who are supposedly constructing the bombs that Fuse designs.
Search the Geonosians’ headquarters in Jundland and see if Fuse is telling the truth.",Investigate the Geonosian Headquarters
Stage 2 – Quarry Quandary,The Twin Suns pirates are a major threat to the local settlements and have taken over a mine as their base of operations. Strike a blow against them by sabotaging the mining carts in the Twin Suns Mine; this will stanch their flow of resources.,Updating…
Stage 3 – Quarry Quandary,The Twin Suns pirates are a major threat to the local settlements and have taken over a mine as their base of operations. Strike a blow against them by disabling their starfighter in Jundland so they can’t ship their stolen goods offworld.,Updating…
Target Practice,"Sand People are taking potshots at travelers going to the Dune Sea. You’ve been asked to confiscate the sharpshooters’ weapons before they cause any more harm.
Defeat the Sand People sharpshooters located up high along the chasm in Jundland and take their sniper rifles.",Collect Sand People Sniper Rifles
The Dragon’s Tail,"Tatooine is the home of the “ghost cell,” a training program for terrorists specializing in stealth, infiltration and assassination. You must locate and destroy the ghost cell’s base of operations with the help of Mia Hawkins, a former cell member.
Mia has identified the cell’s supplier “Dragon Eyes” as Milosh Varta, a member of the Exchange crime syndicate. Investigate his estate south of Mos Anek so he can be questioned about the ghost cell’s location.",Locate Milosh Varta
The Dragon’s Teeth,Defeat Exchange forces near Milosh Varta’s estate in Jundland.,Dispatch Exchange Forces
The Geonosian Eviction,"While destroying the overrun militia base, you are attacked by its conquerers. Defend yourself against the Geonosian forces.",Dispatch Geonosian Forces
The Ghosts of the Desert,"One of the transformed archaeologists, Perrin, escaped and is headed towards the Sons of Palawa’s settlement.
You need to intercept the archaeologist before he infects the settlement. Find the Palawas in the tribal settlement cave in Jundland and search for signs of Perrin.",Defeat Infected Palawas
Vengeance,"You are on the trail of the lost artifacts of Tulak Hord, which are believed to be key to a secret ritual that will grant you great power. With the help of the pirate Andronikos Revel, you managed to locate the base where Sylas Wilkes and the artifact were hidden. Andronikos insisted on coming along to get his revenge.
Travel to Sylas Wilkes’s base in the Southern Jundland Chasm. Access the door console to the base.",Talk to Andronikos Revel
Visions in the Sand,"You are pursuing Master Eriz Vossan on Tatooine, who may be suffering from the plague. You and Rowan Delk watched a message from Master Vossan, in which he claimed to be searching for the ultimate species of warriors after seeing a vision.
Your only lead on where Master Vossan has gone is the vision he mentioned. Master Vossan had this vision in a cave in northern Jundland. Examine the vision cave for clues.",Head to the Vision Cave
Weapons Calibration,"Specialist Zahn wants you to help him test a new orbital strike weapon for the Empire.
First, the Exchange’s wide-area signal jammer needs to be shut down. In order to do that, you’ll need to acquire data spikes from Exchange weapons specialists in the Southern Jundland Chasm.",Recover the Data Spikes
Wraid Threat,"The governor’s message board requested that the blisterscale wraid population be thinned, but who wants to spend the day hauling piles of skulls back to the paystation? Cut a few of the beasts down for fun and let the waste take their bones.
Slay any rockhide wraids in Jundland.",Kill Rockhide Wraids
[AREA] Geonosian Counterattack,"The Geonosian raiders are preying on the people of Tatooine, but you can strike a blow against them by defeating their forces in Jundland.",Defeat Geonosian Forces
[HEROIC 2+] Black Box,"A transport ship has been shot down over a plateau in Jundland. This ship was carrying vital data, and Commander Marcus has asked you to retrieve the black box.
Recover the black box recorder from the Sand People camp in Jundland.",Recover the Imperial Black Box Recorder
[HEROIC 2+] Reap the Whirlwind,"Mayor Jundo Martik needs you to drive off the Twin Suns pirates who have taken over the local mine, as well as recover any ore they’ve stolen.
Head to the mining compound in Jundland and start your attack there.",Go to Mining Compound
A Thorough Cleaning,You stopped Czerka’s experiments from causing any more damage to Tatooine. Bring Director Antayen’s ID badge back to the Republic’s Dune Sea outpost as proof of your victory.,Turn In Director Antayen’s ID Badge
Archaeology of Opportunity,You kept the secrets of Czerka’s experiments out of enemy hands. Return Director Antayen’s ID badge to the Empire’s Dune Sea outpost as proof of your success.,Turn in Director’s Badge and Artifacts at Dropbox
Armed Escort,"The Republic archaeologists are still well protected by their armed escort.
Make your job a little easier by thinning their ranks. Defeat the Republic specialists at the dig site in the Dune Sea.",Defeat Republic Specialists
Bad for Business,"Shayl Tasao, the representative of an Exchange consortium on Tatooine, has hired you to take down an Exchange warlord named Ghar Bodya. Ghar killed a Sith apprentice sent to assassinate him, and the Imperial retaliation is costing all of them.
First, you’ll need to lure Ghar into the open by causing some destruction. In the Dune Sea, destroy Ghar Bodya’s water supplies at the derelict sandcrawlers. Then, defeat Ghar Bodya and take his head as proof.",Destroy Ghar Bodya’s Water Supplies and Take His Head
Bleed the Wound,"On your way to the oasis, defeat any Sand People that would keep you from following the trail of the Padawan. You can find them near the oasis in Jundland.",Defeat Sand People Forces
Body Count,Take out the Twin Suns forces around the mine in northern Jundland.,Eliminate Twin Suns Forces
Burn It Out,"The Sons of Palawa village is infested with infected monstrosities and Palawa warriors, but your mission to cleanse the caves must not be impaired. Eliminate every opponent you encounter.",Defeat Non-Infected Palawa
Can’t Live With ‘Em,"Lem Trudo informed you of an Imperial plot to poison a well in one of the Sand People’s encampments.
He wants you to prevent this by administering an antidote. Pour the antidote into the well at the Motesta Oasis in the Dune Sea.",Pour Antidote into the Purifiers
Clearing the Jawa’s Path,"The Jawas have asked you to clear a path for them. Principally, that path is festooned with dangerous reeks. Kill elder reeks and raging reeks in the desert near Mos Ila.",Kill Reeks
Combat Advantage,"While retrieving data spikes from the Exchange’s weapons specialists, you were attacked by Exchange thugs. Defeat Exchange forces in the Southern Jundland Chasm.",Dispatch Exchange Forces
Counter Rescue Operations,The Jedi who rescued the prisoners are still tending to their wounds. Eliminating them now would protect future Imperial prison transports from disaster. Find the Jedi rescuers in the Dune Sea.,Defeat Jedi Rescuers
Death in the Dunes,"You are pursuing Master Eriz Vossan on Tatooine, who may be suffering from the plague. Master Vossan claimed to be searching for a species of ultimate warriors. After retracing Master Vossan’s steps, it seems he believes the Sand People are the species he is looking for.
Despite his illness, Rowan Delk has suggested meeting at a settlement named Malcolm’s Dunes in the Dune Sea. The settlement has seen a lot of Sand People activity recently and Master Vossan may be involved.",Talk to Rowan Delk
Desert Raid,"Several ambassadors on a sightseeing tour have been taken as slaves by a Tatooine warlord.
Find the slaver camp in the Dune Sea, and free the ambassadors.",Release Enslaved Ambassadors
Disarmament,Destroy the munitions which the Mandalorians have stockpiled as you defeat Mandalorian Forces.,Destroy Mandalorian Munitions
Final Stage – A Thorough Cleaning,"The fallout from Czerka’s experiments on Tatooine must be cleansed for the good of the planet. Defeat Director Antayen to rob the Czerka forces of leadership, and collect his ID badge.",Recover Cybernecrotic Director Antayden’s ID Badge
Final Stage – Archaeology of Opportunity,The secrets of Czerka’s experiments on Tatooine must belong to the Empire alone. Director Antayen is the final piece of evidence to eliminate. Defeat him and recover his ID badge.,Recover Cybernecrotic Director Antayen’s ID Badge
Gamorrean Takedown,Take out any Gamorrean thugs near the Sarlacc pit.,Defeat Gamorrean Thugs
Ghosts of Czerka,"The Czerka forces in this old dig site have been taken over with something like what the Palawa called “The Ghosts of the Desert.”
Don’t let the infection spread further. Eliminate the reanimated Czerka guards, cybernecrotic Czerka observers, charged Czerka droids and reprogrammed Czerka workers.",Defeat Transformed Czerka Forces
Hunters of the Dune Sea,"While hunting in the Dune Sea for Wilkes’s men, you’ve run across the Sand People’s hunting parties. Make sure their hunt doesn’t interfere with yours.
Defeat Sand People Forces in the Dune Sea.",Defeat Sand People Forces
Imperial Shut Down,"As you search for one of Gorik’s commando teams inside the hidden cave, eliminate any Imperials that get in your way.",Defeat Imperial Squad Leaders
Into the Dune Sea,"The pirate, Andronikos Revel, has agreed to help you find the artifact of Tulak Hord, if you help him get revenge on Sylas Wilkes. Wilkes’s men have taken the artifact you’re after as well as Andronikos’s prized blasters into the deep desert.
Go to the Dune Sea and search the last known coordinates of Wilkes’s men.",Search for Signs of Wilkes’s Men
Oasis,"With the help of your guide, Sharack Breev, you are following the path that Nomen Karr’s Padawan took to find a legendary Jedi Master named Yonlach. Your mission on Tatooine is to kill Yonlach.
The Sand People chieftain surrendered a map that points you to a mysterious oasis in the deep desert. Take a speeder to Mos Anek and find the oasis in Jundland.",Talk to Your Reflection
Pre-emptive Strike,"Security Chief Barret says the Mandalorians are preparing to raid Outpost Thorazan.
You agreed to stop the raid by thinning out the mercenaries’ numbers and drawing their warlord leader out of hiding.",Defeat Mandalorians
Sand People Fury,"While you were on a mission to destroy the Exchange sensor arrays, hostile Sand People stood in your way. Defend yourself against them.",Defeat Sand People Forces
Sandstorm,"Fuse, one of the Havoc traitors, is apparently working for the Empire against his will on Tatooine. With the help of Oleg Klerren, the mayor of the local settlement of Anchorhead, you have confirmed Fuse’s claims thus far. However, your activities have apparently tipped the Imperials off to your presence, so they may evacuate soon.
Your only hope of locating the Imperial base and capturing Fuse is to get the base’s coordinates from one of the Imperial commando teams operating in the field. Follow the coordinates Fuse provided and locate the Imperial commando team in the Northern Jundland Chasm.",Use Your Personal Holocom
Scouted,Sand People scar-bearers were seen near the listening device in the Northern Jundland Chasm. Take them out in case they acquired information that could be used against the Republic.,Dispatch Sand People Scar-Bearers
Sharing the Blame,"As an additional display of Imperial power, crush Exchange forces loyal to Ghar Bodya. His crime is theirs, and they shall share his fate accordingly.",Eliminate Exchange Forces
Signal to Noise,"While investigating a strange signal in an abandoned Czerka compound, you run into a number of hostile droids left operating in the facility. Destroy the active Czerka droids still protecting their compound.",Terminate the Czerka Droids
Squash Rebellion,"As you place the sensors for Ensign Preja, get rid of any rebels you encounter.",Eliminate Rebel Forces
Stage 1 – A Thorough Cleaning,The fallout from Czerka’s experiments on Tatooine must be cleansed for the good of the planet. Eliminate Czerka’s forces in the dig site to weaken them.,Defeat Czerka Dig Site Forces
Stage 1 – Archaeology of Opportunity,The secrets of Czerka’s experiments on Tatooine must belong to the Empire alone. Defeat the Czerka forces in the dig site to eliminate all evidence of their existence.,Defeat Czerka Dig Site Forces
Stage 2 – A Thorough Cleaning,The fallout from Czerka’s experiments on Tatooine must be cleansed for the good of the planet. Scan their equipment to collect data about the facility.,Scan Drill Platform Control
Stage 2 – Archaeology of Opportunity,The secrets of Czerka’s experiments on Tatooine must belong to the Empire alone. Collect the alien artifacts excavated from the dig site for analysis.,Recover Excavated Alien Artifacts
Steady Shot,The chasm in Jundland is prime sniping territory. Take down the Sand People there before they put you in their sights.,Defeat Sand People Forces
The Sand Demon’s Lair,"Seismologist Hare’en told you that Brrik and his family raced into the Sand Demon’s lair to help stop the Shock Drum and rescue Master Kiwiiks. She begged you to find them and keep them safe.
Take a speeder to Republic Outpost Thorazan out in the Dune Sea, then go to the Sand Demon’s lair to meet up with Brrik and the other Jawas.",Speak to Master Kiwiiks
The Thing Czerka Found,"Representative Fauler believes that Czerka didn’t build or test a device on Tatooine, but rather built their facility around an artifact that was discovered–one capable of demolishing an entire planet.
The main entrance for Czerka’s dig site will require door codes to access, which can be found by acquiring fragmented data from relay towers scattered throughout the desert. Investigate the first relay tower in the Dune Sea.",Speak to Fauler
The Thing Czerka Found,"The recording of the mural from the Joroshe Spirit Cave has revealed the general vicinity of the Czerka base.
Captain Golah has outfitted a probe droid to scan for signs of the base, but first, you need to discover evidence of Czerka’s presence. Go to the Dune Sea and look for a suitable location for signaling the probe.",Speak to Captain Golah
Thirst for Glory,"Major Brega was ordered to take a well in the region, but his men were butchered by the Sand People who claimed it. Whoever controls that well controls the entire region.
In the Dune Sea, defeat the Sand People at the Motesta Oasis so that the Empire can capture the well.",Defeat Sand People Forces
[HEROIC 2+] Prison Labor,"Officer Vengo and his men were ambushed by a bunch of Republic cowards being led by a Jedi who then freed his prisoners.
Vengo wants you to track the prisoners, adding that he was able to overload the prisoners’ shock collars and according to his sensors, they’ve stopped moving. In the Dune Sea, track and dispatch the escaped prisoners.",Defeat the Escaped Prisoners
[HEROIC 2+] The Long Goodbye,"Lapad Dula’s men are being slowly and torturously digested in the belly of a Sarlacc.
He wants you to end their suffering painlessly, by dropping a poison grenade into the creature’s maw. Search for the Sarlacc pit in the Dune Sea.",Locate the Sarlacc Pit
Alde Break-In,"Your intrusion into the House Alde Museum hasn’t gone unnoticed. It looks like you’ll have to fend off House Alde’s security forces before taking your leave of the Alde’s hospitality.
Defeat Alde Guards at the House Alde Museum in the Juran Mountains.",Defeat Alde Guards
An Iron Fist,"You have arrived on Alderaan. Geor Vers and Moff Sarek have welcomed you to the planet by asking you to subdue some rebellious nobles and present one to Lord Thul as an example.
Subdue one of the rebelling nobles in House Thul, then place a shock collar on him.",Place a Shock Collar on a Rebelling Noble
Armistice,The ammo stores are protected by Exchange Security. Take out a few while you’re there.,Defeat Exchange Security Forces
Base Offensive,"While searching for Fuse inside the Imperial base, take down any Imperial Delta Squad troops that get in your way.",Defeat Delta Squad Forces
Broken Flow,"The Empire needs to hold this location once the oasis has been taken.
Damaging water mains that supply other Sand People encampments in the area will hinder any attempts these savages may make to mount a counterstrike. Be careful not to completely destroy them; the Empire will need them in working order once the water is in Imperial hands.",Damage Water Mains
Buried Treasure,"Fez Burba’s research depends upon the recovery of his experimental results, and he needs your help.
Recover the research results in southern Jundland.",Retrieve the Research Results
Cannon Fodder,"Imperial patrols have been attacked by a rogue Mandalorian warlord. Commander Vames needs the cannons that have been decimating the patrols destroyed.
He’s provided you with a targeter for an orbital strike weapon and asked you to show the owners of those cannons the superiority of Imperial firepower. Destroy the cannon emplacements at the rogue Mandalorians’ war camp in the Southern Jundland Wastes.",Destroy Cannon Emplacements
Catching A Slippery Eel,"Your target on Tatooine is Tyresius Lokai.
The tracker on Tyresius’s stolen speeder bike leads into the Dune Sea. Make your way to Outpost Zaroshe and follow Tyresius’s trail out to the Dune Sea.",Steal the Cargo
Clearing the Cave,"You have been tasked with infiltrating a secret guerilla base believed to be supported by House Organa. As you search for the communications network, take out any guerilla forces that stand in your way.
Defeat guerilla forces inside Lustar Cave in the Kaamos Territory.",Defeat Guerilla Forces
Coastal Safeguards,"Brant Organa has asked you to repair a nearby sensor array so that they can better detect approaching Thul troops.
Reactivate House Organa’s sensor arrays along the Apalis Coast.",Repair Coastal Sensor Arrays
Defusing the Situation,"You have been tasked with disarming baradium explosives threatening House Organa. As you work, take out as many of the Thul forces in the area as you can.
Defeat Thul Forces outside of House Organa on the Apalis Coast.",Defeat Thul Forces
Desert Conquest,"Zola Arvannus, an Imperial diplomat at Outpost Rennar, has hired you to retrieve the defense codes to a bunker under the control of Gamorrean raiders. Once the Empire has the codes, they’ll be able to crush the full resistance in the area and establish a more independent presence rather than depend on the Mandalorians for resources.
In the Southern Jundland Wastes, access the Gamorrean bunker’s computer to retrieve the codes used to command the area’s defenses.",Retrieve the Defense Coordination Codes
Diago’s Defenses,"Diago Hixan appears to have a virtual army of droids defending the Lightspring. You might want to disable them, or else your meeting with him could go especially poorly.",Destroy Diago’s Defense Droids
Diplomacy,The Jedi Council has an important mission for you on Alderran. Use your ship’s galaxy map and travel to Alderaan.,Travel to Alderaan
Double Trouble,"After speaking to Coral, Mako learned that she and her sister are being tracked by an SIS going by the name Izak who’s infiltrated Kaas City.
Coral begged you and Mako to help stop Izak from tracking her down.
Use your ship’s Galaxy Map to travel to Dromund Kaas.",Travel to Dromund Kaas
Evacuation,"Fuse, one of the Havoc traitors, is apparently working for the Empire against his will on Tatooine. With the help of Oleg Klerren, the mayor of the local settlement of Anchorhead, you have confirmed Fuse’s claims thus far.
However, your activities tipped the Imperials off to your presence, so they have decided to evacuate. Storm the Imperial base in the Dune Sea, capture Fuse, and prevent the Imperials’ escape.",Use Your Ship’s Holoterminal
Exchange of Violence,"While destroying the spice for Captain Reskin, defeat Sindal Reed, the boss of the operation, and his Exchange Smugglers.",Defeat Sindal Reed
Final Stage – Geonosian War,The Geonosian forces attacking the people of Tatooine must be stopped. Defeat their legendary “war marshal” Polarin and recover the Geonosian defense data from him in Jundland.,Recover Defense Data from War Marshal Polarin
Final Stage – Ravaged Resupply,"You have been tasked with wiping out the Lanar, a formal vassal of House Thul who have turned on their lords. As you take out the Lanar forces and local support, deal an extra blow by dismantling their operations.
Next, call in an air strike on one of the storage silos at the Lanar Resupply Camp in the Kaamos Territory.",Final Stage – Destroy a Lanar Storage Silo
Final Stage – Revenge Served Cold,"House Thul has unleashed dangerous cryo-weapons on Organa and Republic forces along the Apalis Coast. Now that you’ve recovered the cryo cells from their stockpiles, sabotage the Thul invasion by planting a cryo cell in the engine of a Thul transport.
Plant the cryo cells inside the engine of a Thul transport in the Organa Vinerium.",Stage 3 – Plant the Cryo Cells in a Dropship
Final Stage – Sand Will Fall,The Sand People have repeatedly interfered with the Empire’s plans and must be brought down. Slay the Herald of Bloodgouge in Jundland to send them into disarray and claim his mask as a trophy.,Updating…
Final Stage – The Fall of the Sand People,The Sand People appear to be preparing for a major attack on nearby settlements. Defeat the Herald of Bloodgouge and retrieve evidence of his defeat to reassure the people of Tatooine.,Updating….
Formal Introductions,"You have received instructions to travel to Alderaan as part of your mission to eliminate the Eagle’s galaxy-spanning terrorist network. The Eagle is already responsible for thousands of civilian deaths and the assassination of Darth Jadus; his forces must be stopped before they do further damage to the Empire.
Use your ship’s galaxy map to travel to Alderaan.",Travel to Alderaan
Frozen Assets,"Aza Gundo has discovered House Thul is using dangerous cryo weapons against Organa forces. He has asked you to recover these weapons so they can be destroyed.
Retrieve CryoBan Rifles from Thul Cryo-Troopers in the Organa Vinerium.",Recover Thul CryoBan Rifles
Geonosian War,You struck a blow against the Geonosian forces and recovered valuable data on their defenses. Bring the data to the militia and ensure Tatooine’s future protection.,Deliver the Geonosian Defense Data
Ghosts of Czerka,"The abandoned Czerka lab isn’t as abandoned as you expected. Put the reanimated Czerka guards, cybernecrotic Czerka observers and reprogrammed Czerka workers to rest.",Defeat Transformed Czerka Forces
Guru in the Dunes,"With the help of your guide, Sharack Breev, you are following the path that Nomen Karr’s Padawan took to find a legendary Jedi Master named Yonlach. Your mission on Tatooine is to kill Yonlach.
You have been granted a vision by your reflection that tells you where Master Yonlach can be found. Take a speeder to Outpost Zaroshe in the Dune Sea and confront Jedi Master Yonlach at his domain.",Talk to Sharack Breev
Lenn’s Request,"Lenn Teraan has asked you to recover several family heirlooms taken by House Baliss. He’s promised to reward you well for your effrots.
Search House Baliss at the Apalis Coast for the lost heirlooms.",Recover the Teraan Heirlooms
Listening in,"Moff Sarek has ordered House Thul to take a more active role in the conquest of Alderaan. Unfortunately, Lord Jorad Thul’s homelands are rife with House Organa supporters. You have been asked to locate a guerilla base and plant a computer spike into their communications network. This will allow House Thul to find Organa sympathizers easily and bring their piece of Alderaan under control.
Search for the guerilla base inside Lustar Cave in the Kaamos Territory.",Infiltrate the Guerilla Base
Malicious Persecution,"A Jawa named Krikit asked you to free his Jawa friends from the clutches of the Sand People, and you agreed.
Break open the cages in Jundland to release the captive Jawas.",Open Jawa Cages
Mandalorian Submission,Ensure that the warlord’s cannons remain smoldering wreckage for as long as possible by taking the battle to any nearby Mandalorians. Defeat Mandalorian forces at the abandoned Czerka hangar in the Jundland Wastes.,Eliminate Mandalorian Forces
Militia Training,Use the intercom to summon the militia for their patrol.,Use the Intercom
Militia’s Trial,"Junter Galt recieved an emergency holocall warning that Manister Base is under attack.
He wants you to lead Vastil and his squad into battle to repel the attackers. Rendezvous with Vastil and help the recruits at Manister Base in the Northern Jundland Wastes.",Defeat Geonosian Drones
Multiple Fronts,"You have arrived on Alderaan and assisted Lord Jorad Thul’s feeble efforts at gaining control. Immediately after spiking the Organa communications network, Lord Thul’s observation posts came under attack by House Organa droids. Lord Jorad Thul would like you to retrieve some of the droids’ datacores in order to learn who is behind the insurrection.
Defeat the guerilla forces attacking Borderposts Augis, Benthus, and Parthos, and obtain datacores from their probe droids for analysis.",Repel Borderpost Augis Attackers
New Neighbors,"Sand People are attacking Rinnas Edu’s farmstead. The settlers can wait out the attacks, but not without water from their vaporators.
You agreed to fix the besieged equipment so the farmers can survive the dry season. Repair Rinnas Edu’s moisture vaporators at his farmstead in the Northern Jundland Wastes, but beware of Sand People ambushes.",Repair the Vaporators
NF – Preventative Measures,"Captain Kalor has launched an investigation into Elara regarding a past incident on Taris that resulted in the death of a Senator. The investigation is based upon the testimony of an individual named Ridu. Elara has asked you to travel to Taris so she can confront Ridu and try to persuade him to drop his allegations.
Travel to Taris.",Travel to Taris
Operation Eternal Domain,"[Repeatable: Daily]
Mission 1: Nez Peron Sweep
A Republic fighter wing has been sighted over the Imperial-aligned agricultural planet Nez Peron.
The fighters’ presence is a challenge to Imperial authority. We will show the citizens of Nez Peron the more powerful fleet.
The Empire’s Fury must lead the sweep above Nez Peron in the Seat of the Empire. Neutralize the bold starfighters and demonstrate to the galaxy that Republic activity in Imperial space will not be tolerated.
Mission 2: Sarapin Assault
One hour ago, the Republic warship Enkindle entered Imperial space. When it ignored warnings to turn back, the Imperial dreadnaught Tears of Taris opened fire.
The wounded Republic warship retreated to the upper atmosphere of Sarapin Four. Republic forces are en route to save the Enkindle, but we must beat them to it.
Immediate support is needed to capture the Enkindle within the Coreward Worlds. Cripple the Republic warship, and the Empire will gain a crucial asset in the cold war.",Complete the “Nez Peron Sweep” Mission
Operation Noble Gambit,"[Repeatable: Daily]
Mission 1: Archenar Interception
In one week, we have lost eighteen Republic supply transports to enemy ambushes in Hutt Space. The attackers’ identity remained secret, until now.
Recon drones have detected Imperial fighters hiding in the Archenar asteroid field. They’re stationed there now, waiting to strike again.
Instead of a defenseless supply transport, our ambushers will face the Coruscant Aegis squadron. Intercept the Imperial fighters and see that they never terrorize Republic supply lines again.
Mission 2: Makem Te Assault
Less than one hour ago, Moff Jocend launched an assault on Republic borders. His warship, the Overlord, led the attack which ended with his ship severely damaged.
The wounded Overlord has retreated to the upper atmosphere of Makem Te. Moff Jocend will work swiftly to restore communications and call for help. We must act now.
The Republic needs you to rally in the Seat of the Empire. Cripple the Overlord over Makem Te, and we will capture the warship and its bold commander.",Complete the “Achenar Interception” Mission
Paladins,"The Wolf Baron has captured hundreds of Organa citizens. He has demanded a meeting with Duke Charle Organa to negotiate for their release. Go to the coordinates the Wolf Baron has provided in order to start the negotiations.
Meet the Wolf Baron at the rendezvous point along the Apalis Coast.",Defeat Sith War Apprentices
Pay Back the Sand People,"The Sand People aren’t making your search for Bloodgouge and the settlers any easier. If they get in your way, drop them into the sand.",Defeat Cave-Dwelling Sand People Forces
Prisoner of War,"Your hunt for the Havoc traitors has led you to Alderaan, a world whose royal houses are engaged in a brutal civil war for control of the planet.
Use your ship’s galaxy map to travel to Alderaan.",Travel to Alderaan
Restore the Holorelays,"The Sith have disrupted communications on Alderaan by damaging a number of holorelays. Fixing them will help secure the defenses of House Organa, a Republic ally.
Repair the holorelays by House Organa in the Apalis Coast.",Repair the First Holo-Relay
Revenge Served Cold,"House Thul had unleashed dangerous cryo-weapons on Organa and Republic forces along the Apalis Coast. You managed to collect one of the worst of these weapons – a Cryo Apparatus suit.
Take the Cryo Apparatus to the Organa Disposal Pile along the Apalis Coast.",Take the Cryo Apparatus to the Disposal Pile
Rogue Processes,"Ensign Rosha needs you to sabotage the Exchange’s spying operation.
You will need to grab the codes for the uplink towers from their people on site, and then use them to sabotage the links. Loot the Red Cliff uplink access code from an Exchange slicer in Jundland.",Obtain Red Cliff Access Code from Exchange Slicer
Sand People Slaughter,"While tracking Tyresius Lokai in the Dune Sea, you were attacked by raiding Sand People marching on his ship at the landing site. Defend yourself against the Sand People breakers.",Defeat Sand People Breakers
Sand Will Fall,You’ve humiliated the Sand People of Jundland. Complete the task by delivering their warlord’s mask to Outpost Rennar.,Updating…
Scatter the Swarm,"You have been tasked with provoking the Killiks into swarming. As you poison the hives, take out as many of the Killiks in the area as possible.
Defeat Killik Hive Forces at the Sabas Killik Mounds in the Kaamos Territory.",Defeat Killik Hive Forces
Scorched Planet,"A messenger of General Kashim at Organa Castle relayed details of a Thul plot to detonate bombs near House Organa.
Defuse the baradium explosives outside of House Organa.",Defuse Baradium Explosives
Secure the Salvage,"Upon investigating the remains of a crashed Imperial probe droid, you discovered that it had been stripped bare by Thul salvage crews. As you work to recover the pieces, take out as many of the salvage crew forces as you can.
Defeat Thul Salvage Forces at the Imperial probe droid crash site on the Apalis Coast.",Defeat Thul Salvage Forces
See No Evil,Exchange forces are still present in the vicinity of the drop point in the Dune Sea; being seen now may compromise your plan. Ensure that anybody who sees you will not live to tell about it.,Eliminate Exchange Forces
Shake Down,"Darth Baras has ordered you to hunt down and destroy those who are close to Nomen Karr’s Padawan. He is certain this will draw her out.
The Padawan’s home planet is Alderaan. Use your ship’s galaxy map to travel there.",Travel to Alderaan
Show of Force,"In an attempt to curtail Sand People attacks on Outpost Largona, Professor Larcoh suggested challenging the Sand People to a trial of strength.
Plant the challenge totem into a totem base within the Sand People camp on the Northern Jundland Plateau to start the trial.",Plant the Challenge Totem
Smash the Hive,"While you track down the signal device codes, defeat any Geonosians that get in your way.",Defeat Geonosian Forces
Spiking the Punch,"Crysta Markon has given you your latest Great Hunt target, the “Durasteel Duke.” You have learned that House Girard, under the protection of House Thul, was the last known location of your target.
The houses of Alderaan are warring with each other, a situation that breeds opportunity for bounty hunters such as yourself. Proceed to House Girard, located within House Thul’s compound, and see what kind of information you can obtain.",Return to Baron Girard
Stage 1 – Geonosian War,The Geonosian forces attacking the people of Tatooine must be stopped. Defeat as many as you can in Jundland.,Defeat Geonosian Forces
Stage 1 – Ravaged Resupply,"You have been tasked with wiping out the Lanar, a formal vassal of House Thul who have turned on their lords. As you take out the Lanar forces and local support, deal an extra blow by dismantling their operations.
First, destroy the crop fertilizers at the Lanar Resupply Camp in the Kaamos Territory.",Stage 1 – Destroy Crop Fertilizers
Stage 1 – Revenge Served Cold,"House Thul has unleashed dangerous cryo-weapons on Organa and Republic forces along the Apalis Coast. As you confiscate these weapons, thin the Thul numbers by taking out any troops in your way.
Defeat Thul Forces in the Organa Vinerium.",Stage 1 – Defeat Thul Forces
Stage 1 – Sand Will Fall,The Sand People have repeatedly interfered with the Empire’s plans and must be brought down. Defeat their forces in Jundland.,Defeat Sand People Forces
Stage 1 – The Fall of the Sand People,The Sand People appear to be preparing for a major attack on nearby settlements. Defeat their forces in Jundland to slow down their pillaging.,Defeat the Sand People Forces
Stage 2 – Geonosian War,The Geonosian forces attacking the people of Tatooine must be stopped. Destroy their supply crates in Jundland.,Destroy Supply Crates
Stage 2 – Ravaged Resupply,"You have been tasked with wiping out the Lanar, a formal vassal of House Thul who have turned on their lords. As you take out the Lanar forces and local support, deal an extra blow by dismantling their operations.
Next, destroy the pirates’ supplies at the Lanar Resupply Camp in the Kaamos Territory.",Stage 2 – Destroy Pirate Supplies
Stage 2 – Revenge Served Cold,"House Thul has unleashed dangerous cryo-weapons on Organa and Republic forces along the Apalis Coast. As you confiscate these weapons, hinder Thul’s efforts further by claiming cryo cells from their stockpiles.
Recover cryo cells from Thul stockpiles in the Organa Vinerium.",Stage 2 – Collect Thul Cryo Cells
